epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s
1,0.07842953503131866,0.9766355752944946,1.2757164239883423,0.8081739544868469,12.320545434951782
2,0.040145743638277054,0.9877959489822388,1.5661776065826416,0.8124495148658752,10.353260517120361
3,0.03492974489927292,0.9889910817146301,1.197710394859314,0.8066253662109375,10.217809677124023
4,0.030207406729459763,0.9904724359512329,1.3912276029586792,0.8187112808227539,10.262844324111938
5,0.02806873992085457,0.9908848404884338,1.3920551538467407,0.8125841617584229,10.240296363830566
6,0.027759775519371033,0.9914066791534424,1.3675717115402222,0.8161190152168274,10.17154598236084
7,0.02548624388873577,0.9917685985565186,1.74217689037323,0.7995219230651855,10.184834241867065
8,0.0250458512455225,0.991987407207489,1.5153456926345825,0.8084096312522888,10.184909105300903
9,0.023795902729034424,0.9927785396575928,1.6025131940841675,0.8023161888122559,10.180570363998413
10,0.023776952177286148,0.9925176501274109,1.5978214740753174,0.8147724270820618,10.257717609405518
11,0.02374929189682007,0.9925681352615356,1.5792996883392334,0.8117762207984924,10.194432735443115
12,0.02223677560687065,0.9930394887924194,1.7303491830825806,0.8095206022262573,10.206749439239502
13,0.022081809118390083,0.9928711652755737,1.5910184383392334,0.8122475147247314,10.174807786941528
14,0.021207241341471672,0.9931657314300537,1.6688162088394165,0.8104632496833801,10.17773985862732
15,0.020446041598916054,0.9936202168464661,1.7499871253967285,0.8110018968582153,10.269935846328735
