session_id,round,client_id,tier,tier_name,included_in_aggregation,reputation_weight,reputation,update_size_bytes
20260306_182926,1,0,1,Powerful Edge Server,True,0.126437,110,63508
20260306_182926,1,1,2,Mid-Range IoT Device,True,0.126437,110,63508
20260306_182926,1,2,2,Mid-Range IoT Device,True,0.126437,110,63508
20260306_182926,1,3,3,Constrained Sensor Node,True,0.126437,110,63508
20260306_182926,1,4,3,Constrained Sensor Node,True,0.126437,110,63508
20260306_182926,1,5,1,Powerful Edge Server,True,0.126437,110,63508
20260306_182926,1,6,2,Mid-Range IoT Device,True,0.126437,110,63508
20260306_182926,1,7,2,Mid-Range IoT Device,True,0.114943,100,63508
20260306_182926,2,0,1,Powerful Edge Server,True,0.146341,120,63508
20260306_182926,2,1,2,Mid-Range IoT Device,True,0.146341,120,63508
20260306_182926,2,2,2,Mid-Range IoT Device,True,0.146341,120,63508
20260306_182926,2,3,3,Constrained Sensor Node,True,0.134146,110,63508
20260306_182926,2,5,1,Powerful Edge Server,True,0.146341,120,63508
20260306_182926,2,6,2,Mid-Range IoT Device,True,0.146341,120,63508
20260306_182926,2,7,2,Mid-Range IoT Device,True,0.134146,110,63508
20260306_182926,2,4,3,Constrained Sensor Node,False,0.0,100,63508
20260306_182926,2,8,3,Constrained Sensor Node,False,0.0,100,63508
20260306_182926,3,0,1,Powerful Edge Server,True,0.121495,130,63508
20260306_182926,3,1,2,Mid-Range IoT Device,True,0.121495,130,63508
20260306_182926,3,2,2,Mid-Range IoT Device,True,0.121495,130,63508
20260306_182926,3,3,3,Constrained Sensor Node,True,0.11215,120,63508
20260306_182926,3,4,3,Constrained Sensor Node,True,0.093458,100,63508
20260306_182926,3,5,1,Powerful Edge Server,True,0.121495,130,63508
20260306_182926,3,6,2,Mid-Range IoT Device,True,0.121495,130,63508
20260306_182926,3,8,3,Constrained Sensor Node,True,0.084112,90,63508
20260306_182926,3,9,3,Constrained Sensor Node,True,0.102804,110,63508
20260306_182926,3,7,2,Mid-Range IoT Device,False,0.0,100,63508
20260306_182926,4,1,2,Mid-Range IoT Device,True,0.125,140,63508
20260306_182926,4,2,2,Mid-Range IoT Device,True,0.125,140,63508
20260306_182926,4,3,3,Constrained Sensor Node,True,0.116071,130,63508
20260306_182926,4,4,3,Constrained Sensor Node,True,0.098214,110,63508
20260306_182926,4,5,1,Powerful Edge Server,True,0.125,140,63508
20260306_182926,4,6,2,Mid-Range IoT Device,True,0.125,140,63508
20260306_182926,4,7,2,Mid-Range IoT Device,True,0.089286,100,63508
20260306_182926,4,8,3,Constrained Sensor Node,True,0.089286,100,63508
20260306_182926,4,9,3,Constrained Sensor Node,True,0.107143,120,63508
20260306_182926,4,0,1,Powerful Edge Server,False,0.0,100,63508
20260306_182926,5,0,1,Powerful Edge Server,True,0.125,120,63508
20260306_182926,5,1,2,Mid-Range IoT Device,True,0.15625,150,63508
20260306_182926,5,2,2,Mid-Range IoT Device,True,0.145833,140,63508
20260306_182926,5,3,3,Constrained Sensor Node,True,0.145833,140,63508
20260306_182926,5,4,3,Constrained Sensor Node,True,0.114583,110,63508
20260306_182926,5,5,1,Powerful Edge Server,True,0.15625,150,63508
20260306_182926,5,6,2,Mid-Range IoT Device,True,0.15625,150,63508
