session_id,client_id,tier,tier_name,final_reputation
20260306_182926,0,1,Powerful Edge Server,120
20260306_182926,1,2,Mid-Range IoT Device,150
20260306_182926,2,2,Mid-Range IoT Device,140
20260306_182926,3,3,Constrained Sensor Node,140
20260306_182926,4,3,Constrained Sensor Node,110
20260306_182926,5,1,Powerful Edge Server,150
20260306_182926,6,2,Mid-Range IoT Device,150
20260306_182926,7,2,Mid-Range IoT Device,100
20260306_182926,8,3,Constrained Sensor Node,100
20260306_182926,9,3,Constrained Sensor Node,120
